Code du département,Code de la commune,Code sexe,codesPostaux,population,zone,etiquette_politique,communes_voisines,resultats_votes,emploi_actifs,emploi_retraites,socio_pro,pauvrete_ensemble,natalite,mortalite,diplome_bac,diplome_bac5_plus
38,38317,M,38800,10846.0,metro,,,"{'LUG': 62.86, 'LCOM': 22.82, 'LDVC': 14.31}",67.4,4.4,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 4.3, 'Cadres': 22.4, 'Profession intermédiaire': 29.4, 'Employé': 16.7, 'Ouvrier': 27.2}",21.0,13.3,8.1,18.2,5.1
38,38382,M,38120,17930.0,metro,Divers gauche,38360,"{'LDVG': 59.32, 'LDVC': 40.67}",71.1,5.6,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 4.0, 'Cadres': 18.0, 'Profession intermédiaire': 31.3, 'Employé': 27.9, 'Ouvrier': 18.7}",10.0,11.4,7.5,16.5,20.1
38,38421,M,38400,38022.0,metro,,,"{'LCOM': 53.64, 'LVEC': 22.8, 'LUC': 15.19, 'LLR': 8.35}",55.2,2.6,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 3.3, 'Cadres': 32.9, 'Profession intermédiaire': 26.9, 'Employé': 24.4, 'Ouvrier': 12.4}",19.0,11.4,5.9,15.6,15.1
38,38474,M,38360,11579.0,metro,,"38600,38120","{'LUDI': 52.13, 'LDVG': 47.86}",72.4,6.0,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 5.3, 'Cadres': 27.8, 'Profession intermédiaire': 28.4, 'Employé': 18.8, 'Ouvrier': 19.6}",8.0,9.8,7.9,17.5,14.9
38,38485,M,38170,11784.0,metro,Divers gauche,38600,"{'LDVG': 57.35, 'LDVD': 8.09}",72.9,5.3,"{'Agriculteur': 0.0, 'Artisan, commerçant et chef d’entreprise': 4.8, 'Cadres': 24.9, 'Profession intermédiaire': 32.0, 'Employé': 23.0, 'Ouvrier': 15.3}",10.0,10.8,7.0,16.9,13.4
38,38544,M,38200,31555.0,metro,Union de la droite,,"{'LUD': 52.49, 'LUG': 30.24, 'LREM': 11.78, 'LRN': 5.46}",65.5,4.6,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 6.9, 'Cadres': 17.8, 'Profession intermédiaire': 31.2, 'Employé': 28.7, 'Ouvrier': 15.3}",21.0,13.1,9.6,16.2,13.8
38,38553,M,38090,19018.0,metro,Divers Centre,,"{'LDVC': 21.9, 'LDVG': 31.95}",60.8,4.1,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 5.2, 'Cadres': 15.1, 'Profession intermédiaire': 31.2, 'Employé': 33.9, 'Ouvrier': 14.3}",22.0,15.3,3.6,19.4,7.2
38,38563,M,38500,21604.0,metro,Union de la droite,,"{'LUD': 56.7, 'LDVG': 22.05, 'LUC': 16.44, 'LRN': 4.8}",67.4,5.7,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 7.1, 'Cadres': 17.6, 'Profession intermédiaire': 31.4, 'Employé': 30.5, 'Ouvrier': 13.2}",15.0,11.2,10.5,15.8,13.1
39,39198,M,39100,23784.0,metro,Les Républicains,,"{'LLR': 61.55, 'LVEC': 17.91, 'LDVG': 17.37, 'LEXG': 3.15}",62.0,6.9,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 5.3, 'Cadres': 13.3, 'Profession intermédiaire': 31.6, 'Employé': 29.4, 'Ouvrier': 20.3}",21.0,9.4,11.0,16.3,7.9
39,39300,M,39000,16942.0,metro,Divers gauche,,"{'LDVG': 52.34, 'LREM': 47.65}",61.2,6.3,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 4.7, 'Cadres': 15.4, 'Profession intermédiaire': 32.5, 'Employé': 29.6, 'Ouvrier': 17.6}",21.0,9.1,14.8,17.9,9.8
