Code du département,Code de la commune,Code sexe,codesPostaux,population,zone,etiquette_politique,communes_voisines,resultats_votes,emploi_actifs,emploi_retraites,socio_pro,pauvrete_ensemble,natalite,mortalite,diplome_bac,diplome_bac5_plus
01,01004,M,01500,15554.0,metro,Divers Centre,,"{'LDVC': 50.97, 'LDVG': 21.94, 'LEXG': 4.3}",66.4,5.2,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 5.5, 'Cadres': 13.8, 'Profession intermédiaire': 27.7, 'Employé': 31.3, 'Ouvrier': 21.5}",17.0,15.0,9.2,19.1,8.5
01,01033,M,01200,16162.0,metro,Divers droite,,"{'LDVD': 63.47, 'LDVC': 36.52}",65.8,5.0,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 6.8, 'Cadres': 12.3, 'Profession intermédiaire': 25.2, 'Employé': 29.7, 'Ouvrier': 25.8}",17.0,13.7,8.6,17.8,7.7
01,01053,M,01000,42065.0,metro,Union de la gauche,,"{'LUG': 60.98, 'LUD': 20.61, 'LRN': 8.73, 'LREM': 7.4, 'LEXG': 2.25}",59.4,5.0,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 4.3, 'Cadres': 16.1, 'Profession intermédiaire': 33.2, 'Employé': 28.0, 'Ouvrier': 18.2}",24.0,11.5,11.3,17.4,8.8
01,01143,M,01220,10300.0,metro,Divers droite,01170,"{'LDVD': 65.04, 'LDVC': 28.35, 'LREM': 6.59}",75.1,2.6,"{'Agriculteur': 0.5, 'Artisan, commerçant et chef d’entreprise': 9.3, 'Cadres': 17.9, 'Profession intermédiaire': 24.5, 'Employé': 39.2, 'Ouvrier': 8.7}",8.0,9.4,5.3,16.4,31.7
01,01160,M,01210,11530.0,metro,Divers droite,,"{'LDVD': 50.4, 'LDIV': 24.89, 'LDVC': 24.69}",70.9,2.1,"{'Agriculteur': 0.0, 'Artisan, commerçant et chef d’entreprise': 8.1, 'Cadres': 19.3, 'Profession intermédiaire': 23.2, 'Employé': 37.3, 'Ouvrier': 12.2}",23.0,9.3,2.6,15.3,31.8
01,01173,M,01170,13455.0,metro,Divers droite,,"{'LDVD': 71.35, 'LREM': 28.64}",75.1,2.3,"{'Agriculteur': 0.3, 'Artisan, commerçant et chef d’entreprise': 11.1, 'Cadres': 16.1, 'Profession intermédiaire': 23.7, 'Employé': 34.6, 'Ouvrier': 14.2}",10.0,14.9,5.3,19.1,17.8
01,01249,M,01700,10450.0,metro,Divers droite,,"{'LDVD': 50.72, 'LDVG': 37.85, 'LREM': 11.41}",72.4,4.7,"{'Agriculteur': 0.3, 'Artisan, commerçant et chef d’entreprise': 5.8, 'Cadres': 18.7, 'Profession intermédiaire': 30.1, 'Employé': 19.2, 'Ouvrier': 25.8}",9.0,12.9,8.2,16.2,13.7
01,01283,M,01100,22378.0,metro,Divers droite,,"{'LDVD': 37.25, 'LUG': 10.67}",59.9,5.0,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 7.0, 'Cadres': 13.0, 'Profession intermédiaire': 25.8, 'Employé': 20.8, 'Ouvrier': 33.3}",28.0,12.5,8.3,14.8,4.5
01,01354,M,01630,14584.0,metro,Divers gauche,01170,"{'LDVG': 46.11, 'LDVD': 39.04, 'LECO': 14.84}",72.0,1.5,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 8.5, 'Cadres': 17.2, 'Profession intermédiaire': 28.8, 'Employé': 31.1, 'Ouvrier': 14.2}",18.0,11.3,2.1,16.5,28.2
02,02168,M,02400,15068.0,metro,Divers Centre,,"{'LDVC': 69.44, 'LRN': 13.03, 'LDVG': 7.1, 'LEXG': 1.48}",55.7,5.5,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 4.7, 'Cadres': 11.9, 'Profession intermédiaire': 25.1, 'Employé': 31.2, 'Ouvrier': 27.0}",27.0,13.2,12.4,14.6,6.5
02,02173,M,02300,11456.0,metro,Divers Centre,,"{'LDVC': 23.82, 'LRN': 23.08}",53.8,6.9,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 5.0, 'Cadres': 11.7, 'Profession intermédiaire': 28.1, 'Employé': 34.3, 'Ouvrier': 20.8}",29.0,11.7,12.8,18.8,4.2
02,02408,M,02000,24066.0,metro,Divers droite,,"{'LDVD': 61.54, 'LDVG': 25.07, 'LRN': 9.76, 'LEXG': 2.03, 'LDIV': 1.56}",50.3,5.9,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 3.8, 'Cadres': 14.6, 'Profession intermédiaire': 30.9, 'Employé': 31.8, 'Ouvrier': 18.6}",31.0,12.2,10.9,15.9,6.8
02,02691,F,02100,52995.0,metro,Divers droite,,"{'LDVD': 65.66, 'LRN': 15.05, 'LDVG': 9.0, 'LCOM': 8.88, 'LEXG': 1.38}",53.0,5.7,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 4.9, 'Cadres': 12.9, 'Profession intermédiaire': 29.4, 'Employé': 31.8, 'Ouvrier': 20.9}",29.0,11.7,12.9,15.2,6.6
02,02722,M,02200,28667.0,metro,Divers droite,,"{'LDVD': 59.44, 'LDVC': 15.4, 'LRN': 12.42, 'LDVG': 7.45, 'LFI': 5.28}",52.8,5.6,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 5.1, 'Cadres': 14.1, 'Profession intermédiaire': 29.4, 'Employé': 34.7, 'Ouvrier': 16.5}",30.0,12.1,11.0,15.7,6.8
02,02738,M,02700,13261.0,metro,Divers gauche,,"{'LDVG': 29.01, 'LRN': 18.16}",54.4,7.5,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 4.5, 'Cadres': 9.4, 'Profession intermédiaire': 27.3, 'Employé': 21.8, 'Ouvrier': 36.8}",26.0,11.2,11.1,16.6,1.9
02,02810,M,02600,10376.0,metro,Rassemblement National,,"{'LRN': 53.46, 'LDVC': 28.53, 'LDIV': 17.99}",62.2,6.9,"{'Agriculteur': 0.3, 'Artisan, commerçant et chef d’entreprise': 4.9, 'Cadres': 13.3, 'Profession intermédiaire': 23.8, 'Employé': 31.0, 'Ouvrier': 26.7}",18.0,11.8,10.1,16.8,3.8
03,03095,M,03300,13329.0,metro,Divers droite,03200,"{'LDVD': 69.99, 'LDVG': 14.23}",59.3,7.8,"{'Agriculteur': 0.7, 'Artisan, commerçant et chef d’entreprise': 6.2, 'Cadres': 14.2, 'Profession intermédiaire': 25.7, 'Employé': 28.7, 'Ouvrier': 24.5}",20.0,7.9,15.1,15.4,5.2
03,03185,M,03100,33317.0,metro,Les Républicains,,"{'LLR': 31.45, 'LDVG': 14.43, 'LDVD': 26.0}",58.8,6.3,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 5.0, 'Cadres': 12.7, 'Profession intermédiaire': 26.3, 'Employé': 36.5, 'Ouvrier': 19.3}",25.0,9.7,14.2,17.4,5.8
03,03190,M,03000,19344.0,metro,Les Républicains,03400,"{'LLR': 48.14, 'LDVD': 30.82, 'LUG': 21.03}",60.1,6.1,"{'Agriculteur': 0.3, 'Artisan, commerçant et chef d’entreprise': 4.8, 'Cadres': 13.8, 'Profession intermédiaire': 30.8, 'Employé': 35.5, 'Ouvrier': 14.8}",24.0,11.1,13.6,15.4,7.5
03,03310,M,03200,25702.0,metro,Les Républicains,03300,"{'LLR': 74.1, 'LUG': 16.36, 'LRN': 9.52}",54.3,6.2,"{'Agriculteur': 0.3, 'Artisan, commerçant et chef d’entreprise': 8.8, 'Cadres': 12.8, 'Profession intermédiaire': 26.2, 'Employé': 38.7, 'Ouvrier': 13.2}",23.0,9.1,17.1,18.6,9.3
03,03321,M,03400,12670.0,metro,Parti socialiste,03000,"{'LSOC': 53.7, 'LDVG': 26.52, 'LDVD': 19.77}",62.8,9.3,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 3.9, 'Cadres': 10.3, 'Profession intermédiaire': 26.7, 'Employé': 32.9, 'Ouvrier': 26.1}",11.0,7.3,11.5,18.3,5.5
04,04070,F,04000,17694.0,metro,Divers Centre,,"{'LDVC': 32.49, 'LDVD': 14.97, 'LDVG': 11.93, 'LDLF': 8.16}",55.8,8.1,"{'Agriculteur': 0.6, 'Artisan, commerçant et chef d’entreprise': 6.6, 'Cadres': 15.7, 'Profession intermédiaire': 32.9, 'Employé': 31.4, 'Ouvrier': 12.8}",18.0,8.0,11.6,21.2,7.5
04,04112,M,04100,22807.0,metro,Divers droite,,"{'LDVD': 31.55, 'LDVG': 26.41, 'LDVC': 21.59, 'LEXD': 20.43}",62.8,5.0,"{'Agriculteur': 0.5, 'Artisan, commerçant et chef d’entreprise': 6.4, 'Cadres': 17.4, 'Profession intermédiaire': 27.4, 'Employé': 29.0, 'Ouvrier': 19.3}",21.0,12.0,11.8,17.7,13.1
05,05023,M,05100,10748.0,metro,Union de la droite,,"{'LUD': 49.0, 'LDIV': 30.71, 'LDVG': 20.27}",71.9,6.3,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 8.0, 'Cadres': 12.1, 'Profession intermédiaire': 34.3, 'Employé': 30.9, 'Ouvrier': 14.5}",15.0,9.2,9.7,20.7,10.6
05,05061,M,05000,40656.0,metro,Divers droite,,"{'LDVD': 54.18, 'LDVG': 13.07}",66.0,7.4,"{'Agriculteur': 0.5, 'Artisan, commerçant et chef d’entreprise': 7.3, 'Cadres': 13.8, 'Profession intermédiaire': 31.2, 'Employé': 31.7, 'Ouvrier': 15.4}",15.0,9.3,9.4,19.2,9.4
06,06004,M,"06160,06600",76612.0,metro,Les Républicains,"06410,06270,06220","{'LLR': 52.89, 'LRN': 13.54, 'LREM': 11.8, 'LSOC': 6.0, 'LDVG': 4.26, 'LDIV': 1.38}",69.1,5.3,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 11.4, 'Cadres': 19.0, 'Profession intermédiaire': 26.2, 'Employé': 29.2, 'Ouvrier': 14.0}",15.0,12.2,12.0,17.8,18.0
06,06012,M,06240,12430.0,metro,Divers,06190,"{'LDIV': 70.96, 'LRN': 29.03}",69.9,4.9,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 9.6, 'Cadres': 14.7, 'Profession intermédiaire': 26.1, 'Employé': 35.3, 'Ouvrier': 14.1}",20.0,2.8,4.8,17.5,10.2
06,06018,M,06410,10196.0,metro,Les Républicains,"06560,06270","{'LLR': 52.88, 'LDIV': 16.71}",69.4,4.3,"{'Agriculteur': 0.0, 'Artisan, commerçant et chef d’entreprise': 5.8, 'Cadres': 52.7, 'Profession intermédiaire': 20.3, 'Employé': 14.3, 'Ouvrier': 6.8}",,7.7,7.0,15.6,31.0
06,06027,M,06800,52852.0,metro,Les Républicains,"06270,06700","{'LLR': 47.86, 'LDVD': 34.48, 'LRN': 17.65}",70.3,4.9,"{'Agriculteur': 0.3, 'Artisan, commerçant et chef d’entreprise': 13.1, 'Cadres': 17.2, 'Profession intermédiaire': 25.6, 'Employé': 31.5, 'Ouvrier': 12.3}",14.0,10.3,11.8,18.4,11.9
06,06029,M,"06150,06400",74040.0,metro,Les Républicains,"06220,06110,06250","{'LLR': 88.08, 'LDVG': 4.12, 'LDIV': 1.5}",62.1,5.0,"{'Agriculteur': 0.0, 'Artisan, commerçant et chef d’entreprise': 11.5, 'Cadres': 18.3, 'Profession intermédiaire': 24.5, 'Employé': 32.1, 'Ouvrier': 13.6}",21.0,10.5,14.6,20.5,11.4
06,06030,M,06110,40198.0,metro,,"06220,06250","{'LLR': 60.36, 'LRN': 14.81, 'LREM': 12.87, 'LSOC': 11.93}",68.0,5.4,"{'Agriculteur': 0.0, 'Artisan, commerçant et chef d’entreprise': 14.8, 'Cadres': 13.8, 'Profession intermédiaire': 24.4, 'Employé': 31.5, 'Ouvrier': 15.5}",17.0,11.5,13.0,20.7,10.3
06,06033,M,06510,13729.0,metro,Divers droite,,"{'LDVD': 50.34, 'LDIV': 49.65}",69.8,4.9,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 5.3, 'Cadres': 21.4, 'Profession intermédiaire': 28.8, 'Employé': 14.7, 'Ouvrier': 29.8}",13.0,12.0,6.1,20.2,7.8
06,06069,M,"06130,06520",48669.0,metro,Les Républicains,06370,"{'LLR': 52.4, 'LDIV': 1.37, 'LECO': 8.77, 'LRN': 8.12, 'LDVG': 4.58, 'LDVC': 3.82}",65.4,4.6,"{'Agriculteur': 0.3, 'Artisan, commerçant et chef d’entreprise': 10.6, 'Cadres': 16.6, 'Profession intermédiaire': 27.1, 'Employé': 28.5, 'Ouvrier': 16.9}",15.0,12.2,9.9,18.4,11.1
06,06079,M,06210,21201.0,metro,Les Républicains,,"{'LLR': 81.54, 'LDVD': 18.45}",69.2,6.9,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 12.7, 'Cadres': 15.9, 'Profession intermédiaire': 25.1, 'Employé': 30.1, 'Ouvrier': 15.9}",13.0,9.6,12.5,19.7,10.9
06,06083,M,06500,30326.0,metro,,,"{'LUD': 55.69, 'LDVD': 44.3}",68.7,6.1,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 11.6, 'Cadres': 12.3, 'Profession intermédiaire': 22.7, 'Employé': 38.9, 'Ouvrier': 14.4}",17.0,3.3,9.8,20.8,7.6
06,06084,M,06370,10847.0,metro,Divers,06250,"{'LDIV': 8.48, 'LDVD': 14.66}",71.3,6.3,"{'Agriculteur': 0.3, 'Artisan, commerçant et chef d’entreprise': 11.5, 'Cadres': 18.6, 'Profession intermédiaire': 28.8, 'Employé': 22.1, 'Ouvrier': 18.7}",9.0,9.4,13.2,17.1,19.6
06,06085,M,06250,19481.0,metro,Les Républicains,"06370,06110,06560","{'LLR': 63.31, 'LDVD': 28.61, 'LDVG': 8.07}",71.4,4.4,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 10.1, 'Cadres': 25.7, 'Profession intermédiaire': 23.9, 'Employé': 24.6, 'Ouvrier': 15.6}",11.0,10.1,10.3,17.5,18.4
06,06088,M,"06000,06100,06200,06300",353701.0,metro,Divers droite,06700,"{'LDVD': 59.3, 'LRN': 21.39, 'LECO': 19.3}",62.6,4.2,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 8.9, 'Cadres': 19.5, 'Profession intermédiaire': 26.8, 'Employé': 31.0, 'Ouvrier': 13.7}",22.0,12.8,11.1,17.7,15.8
06,06104,M,06190,12419.0,metro,Les Républicains,"06240,06500","{'LLR': 52.11, 'LDIV': 32.98, 'LDVC': 14.9}",70.4,5.4,"{'Agriculteur': 0.0, 'Artisan, commerçant et chef d’entreprise': 15.8, 'Cadres': 12.6, 'Profession intermédiaire': 26.2, 'Employé': 36.9, 'Ouvrier': 8.4}",14.0,2.7,9.5,19.9,11.6
06,06123,M,06700,31645.0,metro,Les Républicains,06800,"{'LLR': 54.57, 'LRN': 13.67, 'LDIV': 12.77, 'LDVG': 9.2, 'LDVD': 6.18, 'LDVC': 3.59}",73.4,4.8,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 9.8, 'Cadres': 14.3, 'Profession intermédiaire': 28.9, 'Employé': 32.6, 'Ouvrier': 14.4}",12.0,12.6,10.7,20.5,10.9
06,06149,M,06340,10485.0,metro,Divers gauche,,"{'LDVG': 59.56, 'LLR': 23.5, 'LRN': 16.93}",69.1,7.4,"{'Agriculteur': 0.3, 'Artisan, commerçant et chef d’entreprise': 10.0, 'Cadres': 9.6, 'Profession intermédiaire': 24.6, 'Employé': 34.9, 'Ouvrier': 20.6}",14.0,9.8,8.6,18.4,4.9
06,06152,M,06560,12389.0,metro,Écologiste,"06410,06250","{'LECO': 45.46, 'LDVC': 28.91, 'LDVG': 25.61}",64.3,3.4,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 5.0, 'Cadres': 52.2, 'Profession intermédiaire': 21.8, 'Employé': 14.9, 'Ouvrier': 6.0}",10.0,8.5,5.7,13.5,26.9
06,06155,M,06220,28579.0,metro,,"06110,06250","{'LDIV': 23.17, 'LLR': 32.4, 'LRN': 8.97}",63.9,6.5,"{'Agriculteur': 0.5, 'Artisan, commerçant et chef d’entreprise': 12.8, 'Cadres': 19.9, 'Profession intermédiaire': 23.6, 'Employé': 27.7, 'Ouvrier': 15.5}",18.0,12.4,13.3,18.5,9.5
06,06157,M,06140,19856.0,metro,Divers,,"{'LDIV': 19.39, 'LDVC': 38.9}",70.3,5.0,"{'Agriculteur': 0.4, 'Artisan, commerçant et chef d’entreprise': 18.2, 'Cadres': 14.3, 'Profession intermédiaire': 25.2, 'Employé': 28.5, 'Ouvrier': 13.3}",14.0,8.9,12.4,17.7,14.7
06,06161,M,06270,16729.0,metro,Les Républicains,"06800,06410","{'LLR': 88.49, 'LRN': 11.5}",72.4,5.4,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 8.7, 'Cadres': 32.0, 'Profession intermédiaire': 24.2, 'Employé': 23.0, 'Ouvrier': 12.0}",10.0,11.5,8.3,19.6,16.9
07,07010,M,07100,17222.0,metro,Divers gauche,,"{'LDVG': 10.21, 'LDVD': 41.0, 'LDIV': 6.82}",60.1,6.1,"{'Agriculteur': 0.4, 'Artisan, commerçant et chef d’entreprise': 5.8, 'Cadres': 12.5, 'Profession intermédiaire': 28.3, 'Employé': 26.0, 'Ouvrier': 27.1}",23.0,11.4,13.5,16.7,6.5
07,07019,M,07200,12488.0,metro,Divers droite,,"{'LDVD': 42.35, 'LDVG': 9.52, 'LDVC': 20.22}",60.3,5.8,"{'Agriculteur': 0.6, 'Artisan, commerçant et chef d’entreprise': 8.4, 'Cadres': 13.7, 'Profession intermédiaire': 27.1, 'Employé': 31.8, 'Ouvrier': 18.4}",25.0,8.6,15.6,19.4,7.5
07,07102,F,07500,11277.0,metro,Divers droite,26000,{'LDVD': 100.0},72.2,7.6,"{'Agriculteur': 0.0, 'Artisan, commerçant et chef d’entreprise': 5.5, 'Cadres': 20.3, 'Profession intermédiaire': 29.9, 'Employé': 30.5, 'Ouvrier': 13.8}",8.0,9.3,12.1,19.0,10.7
07,07324,M,07300,11302.0,metro,Divers droite,,"{'LDVD': 40.09, 'LDVG': 37.76, 'LDVC': 22.14}",67.7,6.1,"{'Agriculteur': 1.4, 'Artisan, commerçant et chef d’entreprise': 4.6, 'Cadres': 15.4, 'Profession intermédiaire': 26.6, 'Employé': 24.3, 'Ouvrier': 27.6}",17.0,10.4,13.2,17.8,9.1
08,08105,M,08000,45634.0,metro,Divers droite,,"{'LDVD': 77.61, 'LUG': 12.24, 'LVEC': 7.67, 'LEXG': 2.46}",53.6,6.6,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 4.5, 'Cadres': 12.5, 'Profession intermédiaire': 29.5, 'Employé': 34.8, 'Ouvrier': 18.6}",30.0,11.1,12.3,15.6,7.4
08,08409,M,08200,16727.0,metro,Divers gauche,,"{'LDVG': 53.99, 'LDVD': 9.27}",48.7,6.0,"{'Agriculteur': 0.4, 'Artisan, commerçant et chef d’entreprise': 6.7, 'Cadres': 11.0, 'Profession intermédiaire': 29.4, 'Employé': 35.0, 'Ouvrier': 17.5}",33.0,10.3,13.6,14.8,3.9
09,09225,F,09100,16512.0,metro,Divers Centre,,"{'LDVC': 41.39, 'LDVD': 38.69, 'LDVG': 19.91}",62.6,5.0,"{'Agriculteur': 0.4, 'Artisan, commerçant et chef d’entreprise': 5.7, 'Cadres': 11.3, 'Profession intermédiaire': 26.8, 'Employé': 34.6, 'Ouvrier': 21.2}",23.0,11.0,10.7,22.4,6.2
10,10081,M,10600,12603.0,metro,Divers gauche,10300,"{'LDVG': 68.79, 'LDVD': 31.2}",50.1,4.5,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 4.2, 'Cadres': 10.3, 'Profession intermédiaire': 28.8, 'Employé': 22.3, 'Ouvrier': 34.2}",37.0,13.9,8.4,14.8,4.1
10,10323,M,10100,14751.0,metro,Divers droite,,"{'LDVD': 57.41, 'LDVG': 28.24, 'LRN': 14.33}",54.0,6.0,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 4.8, 'Cadres': 10.9, 'Profession intermédiaire': 30.3, 'Employé': 30.9, 'Ouvrier': 22.9}",30.0,12.3,13.0,15.2,3.9
10,10333,F,10120,12695.0,metro,Divers droite,10300,"{'LDVD': 64.84, 'LDVG': 35.15}",64.6,6.5,"{'Agriculteur': 0.0, 'Artisan, commerçant et chef d’entreprise': 4.6, 'Cadres': 12.3, 'Profession intermédiaire': 23.7, 'Employé': 33.2, 'Ouvrier': 26.3}",17.0,11.1,8.6,16.7,8.9
10,10362,M,10300,10457.0,metro,Divers,10600,"{'LDIV': 38.6, 'LDVG': 33.51, 'LDVC': 19.11, 'LRN': 8.77}",64.5,6.7,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 6.5, 'Cadres': 16.6, 'Profession intermédiaire': 26.7, 'Employé': 20.6, 'Ouvrier': 29.5}",16.0,9.3,10.0,17.0,9.0
10,10387,M,10000,62443.0,metro,Les Républicains,10120,"{'LLR': 66.78, 'LDVG': 14.06, 'LRN': 11.25, 'LREM': 5.47, 'LEXG': 2.42}",53.9,4.3,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 5.7, 'Cadres': 17.6, 'Profession intermédiaire': 30.0, 'Employé': 30.7, 'Ouvrier': 16.0}",30.0,12.0,9.7,16.4,10.0
11,11069,M,11000,46429.0,metro,Divers droite,,"{'LDVD': 47.2, 'LUG': 37.41, 'LRN': 15.38}",57.0,6.4,"{'Agriculteur': 0.4, 'Artisan, commerçant et chef d’entreprise': 7.1, 'Cadres': 13.0, 'Profession intermédiaire': 29.3, 'Employé': 35.1, 'Ouvrier': 15.0}",28.0,11.3,12.1,20.3,7.7
11,11076,M,11400,12212.0,metro,Divers gauche,,"{'LDVG': 12.91, 'LDVD': 21.28}",62.8,5.3,"{'Agriculteur': 0.6, 'Artisan, commerçant et chef d’entreprise': 7.2, 'Cadres': 11.2, 'Profession intermédiaire': 25.2, 'Employé': 32.3, 'Ouvrier': 23.5}",21.0,9.3,14.5,22.3,8.3
11,11203,M,11200,10855.0,metro,Divers droite,,"{'LDVD': 50.12, 'LDVG': 49.87}",50.1,8.1,"{'Agriculteur': 0.4, 'Artisan, commerçant et chef d’entreprise': 8.0, 'Cadres': 11.6, 'Profession intermédiaire': 26.4, 'Employé': 30.5, 'Ouvrier': 23.0}",24.0,9.9,14.3,15.9,4.2
11,11206,M,11300,10339.0,metro,Divers gauche,,"{'LDVG': 57.66, 'LDVD': 24.64, 'LRN': 17.68}",59.0,7.0,"{'Agriculteur': 1.2, 'Artisan, commerçant et chef d’entreprise': 8.7, 'Cadres': 11.4, 'Profession intermédiaire': 25.9, 'Employé': 32.7, 'Ouvrier': 20.0}",22.0,7.5,17.1,19.0,5.6
11,11262,M,11100,56692.0,metro,,,"{'LDVD': 43.57, 'LDVG': 34.43, 'LVEC': 13.11, 'LRN': 8.87}",57.2,6.2,"{'Agriculteur': 0.5, 'Artisan, commerçant et chef d’entreprise': 8.4, 'Cadres': 13.7, 'Profession intermédiaire': 29.3, 'Employé': 29.8, 'Ouvrier': 18.4}",25.0,9.9,12.2,19.3,8.9
12,12145,F,12100,21859.0,metro,Union de la gauche,,"{'LUG': 44.54, 'LDVD': 43.98, 'LDVC': 11.47}",65.2,8.3,"{'Agriculteur': 1.0, 'Artisan, commerçant et chef d’entreprise': 9.9, 'Cadres': 12.3, 'Profession intermédiaire': 28.9, 'Employé': 29.6, 'Ouvrier': 18.3}",16.0,8.6,12.0,19.4,7.7
12,12176,M,"12000,12850",12062.0,metro,,12000,"{'LDVD': 63.27, 'LDVG': 36.72}",70.1,5.7,"{'Agriculteur': 0.5, 'Artisan, commerçant et chef d’entreprise': 4.8, 'Cadres': 12.2, 'Profession intermédiaire': 32.2, 'Employé': 25.4, 'Ouvrier': 24.9}",17.0,11.0,7.2,19.7,7.6
12,12202,M,12000,24136.0,metro,Divers Centre,,"{'LDVC': 55.16, 'LDVG': 26.65, 'LDVD': 18.18}",65.1,5.2,"{'Agriculteur': 0.3, 'Artisan, commerçant et chef d’entreprise': 6.0, 'Cadres': 18.0, 'Profession intermédiaire': 34.3, 'Employé': 26.6, 'Ouvrier': 14.8}",16.0,9.3,11.0,19.4,12.0
12,12300,M,12200,11502.0,metro,Divers gauche,,"{'LDVG': 52.34, 'LDIV': 5.72}",58.4,9.5,"{'Agriculteur': 0.5, 'Artisan, commerçant et chef d’entreprise': 8.5, 'Cadres': 10.7, 'Profession intermédiaire': 27.0, 'Employé': 33.0, 'Ouvrier': 20.2}",19.0,8.1,14.9,18.1,6.4
13,13001,F,"13080,13090,13100,13290,13540",147933.0,metro,,,"{'LUD': 43.53, 'LREM': 32.12, 'LUG': 24.34}",62.2,3.4,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 6.0, 'Cadres': 32.1, 'Profession intermédiaire': 28.4, 'Employé': 23.0, 'Ouvrier': 10.3}",15.0,10.2,8.2,15.4,27.9
13,13002,M,13190,21404.0,metro,Divers droite,13380,"{'LDVD': 59.66, 'LDIV': 24.41, 'LRN': 15.91}",70.8,7.5,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 12.0, 'Cadres': 16.3, 'Profession intermédiaire': 29.4, 'Employé': 31.2, 'Ouvrier': 10.9}",7.0,8.6,9.6,17.8,14.2
13,13004,M,"13104,13123,13129,13200,13280",51156.0,metro,Divers Centre,13310,"{'LDVC': 57.22, 'LUG': 42.77}",59.9,6.0,"{'Agriculteur': 1.4, 'Artisan, commerçant et chef d’entreprise': 9.3, 'Cadres': 15.2, 'Profession intermédiaire': 26.8, 'Employé': 30.4, 'Ouvrier': 17.0}",24.0,11.7,11.2,17.7,8.9
13,13005,M,13400,47724.0,metro,Les Républicains,,"{'LLR': 48.03, 'LUG': 43.21, 'LRN': 8.74}",64.2,5.5,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 6.9, 'Cadres': 16.5, 'Profession intermédiaire': 27.8, 'Employé': 29.6, 'Ouvrier': 19.0}",16.0,10.5,11.2,18.7,9.7
13,13007,F,13390,12986.0,metro,Divers droite,,"{'LDVD': 63.19, 'LDVC': 36.8}",70.5,6.2,"{'Agriculteur': 1.2, 'Artisan, commerçant et chef d’entreprise': 18.4, 'Cadres': 16.7, 'Profession intermédiaire': 21.8, 'Employé': 27.5, 'Ouvrier': 14.4}",9.0,9.0,7.7,19.0,12.8
13,13014,M,13130,13941.0,metro,Union de la gauche,13340,"{'LUG': 50.04, 'LDVG': 41.26, 'LRN': 8.68}",63.3,4.5,"{'Agriculteur': 1.4, 'Artisan, commerçant et chef d’entreprise': 7.7, 'Cadres': 13.8, 'Profession intermédiaire': 29.6, 'Employé': 17.9, 'Ouvrier': 29.5}",19.0,11.4,8.8,18.4,2.8
13,13015,M,13320,15367.0,metro,,"13480,13120","{'LLR': 63.23, 'LDIV': 19.04, 'LDVC': 17.71}",70.9,5.3,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 7.1, 'Cadres': 15.2, 'Profession intermédiaire': 28.0, 'Employé': 27.2, 'Ouvrier': 22.4}",6.0,9.1,8.0,15.7,23.0
